age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0.519480519,4,1,2,0,0.092259365,1,0,2,0.133333333,8,0.053070354,0,0,0,1,0
0.337662338,9,2,1,0,0.073066657,1,0,2,0.133333333,8,0.030703538,0,0,0,1,0
0.194805195,2,1,1,0,0.072821528,1,1,2,0.133333333,8,0.015453436,0,0,0,1,0
0.376623377,1,1,3,0,0.086476132,1,0,2,0.133333333,8,0.018706791,0,0,0,1,0
0.194805195,11,2,3,0,0.072812449,0,0,2,0.133333333,8,0.040260268,0,0,0,1,0
0.220779221,4,1,2,0,0.074900586,1,0,2,0.133333333,8,0.028263522,0,0,0,1,0
0.12987013,4,2,2,0,0.07686162,1,1,2,0.133333333,8,0.044123627,0,0,0,1,0
0.311688312,2,0,2,1,0.072821528,1,0,2,0.133333333,8,0.077267182,0,0,0,1,0
0.519480519,5,1,0,0,0.073901912,1,0,2,0.133333333,8,0.010166734,0,0,0,1,0
0.324675325,9,2,1,0,0.078187133,1,0,2,0.133333333,8,0.011183408,0,0,0,1,0
0.298701299,0,0,1,0,0.075254662,1,0,2,0.133333333,8,0.045140301,0,0,0,1,0
0.142857143,0,2,1,0,0.076344125,1,0,2,0.133333333,8,0.027856852,0,0,0,1,0
0.454545455,9,1,1,0,0.072857843,1,0,2,0.133333333,8,0.105124034,0,0,0,1,0
0.519480519,9,1,3,0,0.073447969,1,0,2,0.133333333,8,0.014436763,0,0,0,1,0
0.506493506,7,1,1,0,0.074274145,1,0,2,0.133333333,8,0.035380236,0,0,0,1,0
0.428571429,5,1,0,0,0.074882429,1,0,2,0.133333333,8,0.071777145,0,0,0,1,0
0.350649351,0,2,3,0,0.072921395,1,0,2,0.133333333,8,0.0199268,0,0,0,1,0
0.506493506,1,1,0,0,0.073275471,1,0,2,0.133333333,8,0.007726718,0,0,0,1,0
0.545454545,5,1,0,0,0.073348102,1,0,2,0.133333333,8,0.044530297,0,0,0,1,0
0.194805195,7,1,1,0,0.07280337,1,0,2,0.133333333,8,0.010980073,0,0,0,1,0
0.12987013,1,1,1,0,0.079367385,1,1,2,0.133333333,8,0.053273688,0,0,0,1,0
0.493506494,4,1,2,0,0.079875801,1,0,2,0.133333333,8,0.033346889,0,0,0,1,0
0.181818182,1,2,0,0,0.073012184,1,1,2,0.133333333,8,0.03253355,0,0,0,1,0
0.090909091,7,1,1,0,0.073257313,1,0,2,0.133333333,8,0.069540464,0,0,0,1,0
0.285714286,5,1,0,0,0.07280337,1,1,2,0.133333333,8,0.036803579,0,0,0,1,0
0.337662338,0,1,1,0,0.069426035,1,0,2,0.133333333,8,0.034973566,0,0,0,1,0
0.272727273,4,2,2,0,0.075118479,1,0,2,0.133333333,8,0.060187068,0,0,0,1,0
0.441558442,2,1,1,0,0.073829281,1,1,2,0.133333333,8,0.025823505,0,0,0,1,0
0.363636364,4,2,1,0,0.070569971,1,0,2,0.133333333,8,0.051850346,0.016129032,0,0,1,0
0.233766234,9,2,1,0,0.075209268,1,1,2,0.133333333,8,0.070760472,0,0,0,1,0
0.506493506,9,1,1,0,0.080420533,0,1,2,0.133333333,8,0.045750305,0,0,0,1,0
0.402597403,4,1,2,0,0.076235179,1,0,2,0.133333333,8,0.046766978,0,0,0,1,0
0.545454545,0,1,1,0,0.073157446,1,1,2,0.133333333,8,0.042293615,0,0,0,1,0
0.532467532,1,1,1,0,0.07280337,1,0,2,0.133333333,8,0.04595364,0,0,0,1,0
